study;year;scale;weeks;baseline;k_ad_arms;drugs;cls;all_n;all_sd;all_m;pooled_sd;pooled_m;placebo_n;placebo_sd;placebo_m
Moscovitch2004;2004.0;HAMD17;8.0;18.62;1;sertraline;SSRI;93.0;7.71;9.36;7.709999999999999;9.36;93.0;8.0;6.87
Binnemann2008 (NCT00143091);2008.0;HAMD17;6.0;23.3;1;sertraline;SSRI;30.0;7.613;13.42;7.613;13.42;31.0;7.572;10.18
Fabre1995 (SER 103 FDA);1995.0;HAMD17;6.0;24.8;3;sertraline|sertraline|sertraline;SSRI;261.0;8.566666666666666;9.866666666666665;8.567489596380312;9.88735632183908;86.0;7.5;7.6
SER 315 (FDA);;HAMD17;8.0;23.1;2;amitriptyline|sertraline;SSRI|tricyclic;146.0;8.005190231352934;10.25;8.673346327806941;10.194520547945206;73.0;7.999580405317127;7.8
Mao2015 (NCT01098318);2015.0;HAMD17;12.0;15.4;1;sertraline;SSRI;19.0;10.1;8.2;10.1;8.2;18.0;8.66;4.6
Davidson2002 (HDTSG) (NCT00005013);2002.0;HAMD17;8.0;22.5;1;sertraline;SSRI;109.0;7.52;10.53;7.52;10.53;116.0;7.22;9.2
Olie1997;1997.0;HAMD17;6.0;25.4;1;sertraline;SSRI;129.0;8.1;11.7;8.1;11.7;129.0;8.1;7.7
Cunningham1994 (VEN 600A-302 FDA);1994.0;HAMD21;6.0;25.02;2;trazodone|venlafaxine;SNRI|atypical;136.0;5.75952783308861;11.25;5.8296964256298;11.220441176470588;75.0;5.75952783308861;8.8
VEN 600A-303 (FDA);;HAMD21;6.0;23.63;1;venlafaxine;SNRI;69.0;8.45;10.14;8.45;10.14;79.0;8.45;9.89
VEN 600A-313 (FDA);;HAMD21;6.0;25.57;2;venlafaxine|venlafaxine;SNRI;149.0;8.199049274773131;11.375;8.384725346517103;11.39026845637584;75.0;8.199049274773131;9.49
VEN XR 367 (FDA);;HAMD21;8.0;26.49;3;paroxetine|venlafaxine|venlafaxine;SNRI|SSRI;237.0;10.627369045853287;13.826666666666666;10.748363934369975;13.824599156118145;81.0;10.627369045853287;13.1
